|      | game_id                                                             |   num_soundtracks |
|  389 | flintstones-the-treasure-of-sierra-madrock                          |                17 |
|  390 | flying-hero-bugyuruu-no-daibouken                                   |                14 |
|  391 | football-fury                                                       |                 6 |
|  392 | foreman-for-real                                                    |                 7 |
|  393 | frantic-flea                                                        |                 9 |
|  394 | frognes                                                             |                 1 |
|  395 | front-mission                                                       |                13 |
|  396 | front-mission-gun-hazard                                            |                36 |
|  397 | full-throttle-all-american-racing                                   |                 3 |
|  398 | fun-n-games                                                         |                22 |
|  399 | fushigi-no-dungeon-torneko-no-daibouken                             |                14 |
|  400 | gakkou-de-atta-kowai-hanashi                                        |                 5 |
|  401 | galaxy-wars                                                         |                 2 |
|  402 | gamars-copier                                                       |                 1 |
|  403 | gamble-hourouki                                                     |                 4 |
|  404 | gambler-jiko-chuushinha-2-dorapon-quest                             |                 8 |
|  405 | game-no-tetsujin-the-shanghai                                       |                 2 |
|  406 | gamera-gyaos-gekimetsu-sakusen                                      |                 4 |
|  407 | gan-gan-ganchan                                                     |                 6 |
|  408 | ganbare-daiku-no-gen-san                                            |                15 |
|  409 | ganbare-goemon-2-kiteretsu-shougun-magginesu                        |                48 |
|  410 | ganbare-goemon-3-shishi-juurokubee-no-karakuri-manjigatame          |                56 |
|  411 | ganbare-goemon-4-kirakira-douchuu-boku-ga-dancer-ni-natta-riyuu     |                65 |
|  412 | ganso-pachinko-ou                                                   |                 1 |
|  413 | garry-kitchens-super-battletank-war-in-the-gulf                     |                 3 |
|  414 | gd-leen                                                             |                 3 |
|  415 | gegege-no-kitaro-fukkatsu-tenma-daiou                               |                13 |
|  416 | gekisou-sentai-car-rangers-zenkai-racer-senshi                      |                11 |
|  417 | gekitotsu-dangan-jidousha-kessen-battle-mobile                      |                 9 |
|  418 | gekitou-burning-prowrestling                                        |                 2 |
|  419 | gemfire                                                             |                16 |
|  420 | genghis-khan-ii-clan-of-the-grey-wolf                               |                15 |
|  421 | genjuu-ryodan                                                       |                 4 |
|  422 | genocide-2                                                          |                15 |
|  423 | george-foremans-ko-boxing                                           |                 5 |
|  424 | get-in-the-hole                                                     |                 6 |
|  425 | getsumen-no-anubis                                                  |                18 |
|  426 | ghost-chaser-densei                                                 |                15 |
|  427 | ghost-sweeper-mikami-joreishi-wa-nice-body                          |                16 |
|  428 | ghoul-patrol                                                        |                12 |
|  429 | ginga-eiyuu-densetsu                                                |                 3 |
|  430 | ginga-sengoku-gunyuuden-rai                                         |                 2 |
|  431 | gionbana                                                            |                 5 |
|  432 | go-go-ackman                                                        |                19 |
|  433 | go-go-ackman-2                                                      |                19 |
|  434 | go-go-ackman-3                                                      |                18 |
|  435 | go-go-dodge-league                                                  |                 4 |
|  436 | god-mezameyo-to-yobu-koe-ha-kikoe                                   |                 4 |
|  437 | gods                                                                |                10 |
|  438 | godzilla-kaijuu-daikessen                                           |                16 |
|  439 | gokinjo-bouken-tai                                                  |                45 |
|  440 | gokujou-parodius                                                    |                29 |
|  441 | golf-daisuki-ob-club                                                |                 3 |
|  442 | gon                                                                 |                 7 |
|  443 | goods-press-gatsu-gou-3                                             |                13 |
|  444 | goods-press-gatsu-gou-7                                             |                 3 |
|  445 | goof-troop                                                          |                13 |
|  446 | gourmet-sentai-bara-yarou                                           |                23 |
|  447 | gp-1                                                                |                 5 |
|  448 | gp-1-part-ii                                                        |                12 |
|  449 | gradius-iii                                                         |                25 |
|  450 | granhistoria-genshi-sekaiki                                         |                 3 |
|  451 | great-battle-gaiden-2-the-matsuri-da-wasshoi                        |                28 |
|  452 | great-battle-ii-the-last-fighter-twin                               |                17 |
|  453 | great-battle-iii-the                                                |                26 |
|  454 | great-battle-iv-the                                                 |                26 |
|  455 | great-battle-v-the                                                  |                21 |
|  456 | great-circus-mystery-starring-mickey-minnie-the                     |                22 |
|  457 | gt-racing                                                           |                 2 |
|  458 | gunforce                                                            |                 8 |
|  459 | gunple-strange-world-gunmans-proof                                  |                26 |
|  460 | habu-meijin-no-omoshiro-shougi                                      |                 2 |
|  461 | hagane-the-final-conflict                                           |                 2 |
|  462 | haisei-mahjong-ryouga                                               |                 2 |
|  463 | hajimari-no-mori                                                    |                10 |
|  464 | hakunetsu-professional-baseball-94-ganba-league-3                   |                 7 |
|  465 | hakunetsu-professional-baseball-ganba-league-93                     |                 6 |
|  466 | hals-hole-in-one-golf                                               |                 4 |
|  467 | hameln-no-violin-hiki                                               |                38 |
|  468 | hana-no-keiji-kumo-no-kanata-ni                                     |                 6 |
|  469 | hanafuda-ou                                                         |                 4 |
|  470 | hanjuku-eiyuu-aa-sekai-yo-hanjuku-nare                              |                12 |
|  471 | hanna-barberas-turbo-toons                                          |                 4 |
|  472 | hardball-iii                                                        |                 7 |
|  473 | harleys-humongous-adventure                                         |                 7 |
|  474 | harvest-moon                                                        |                14 |
|  475 | hashire-hebereke                                                    |                16 |
|  476 | hat-trick-hero-2                                                    |                11 |
|  477 | hatayama-hacchi-no-pro-yakyuu-news-jitsumeiban                      |                 5 |
|  478 | hayazashi-nidan-morita-shougi                                       |                 1 |
|  479 | head-on-soccer                                                      |                 4 |
|  480 | hebereke-no-oishii-puzzle-wa-irimasen-ka                            |                11 |
|  481 | hebereke-no-popun                                                   |                 8 |
|  482 | heberekes-popoitto                                                  |                 9 |
|  483 | heian-fuunden-the                                                   |                 1 |
|  484 | heisei-gunjin-shougi                                                |                 6 |
|  485 | heisei-inu-monogatari-bow-pop-n-smash                               |                 8 |
|  486 | heisei-shin-onigashima                                              |                 3 |
|  487 | herakles-no-eikou-iii-kamigami-no-chinmoku                          |                 8 |
|  488 | herakles-no-eikou-iv-kamigami-kara-no-okurimono                     |                 9 |
