|      | game_id                                                             |   num_soundtracks |
|  440 | golf-daisuki-ob-club                                                |                 3 |
|  441 | gon                                                                 |                 7 |
|  442 | goods-press-gatsu-gou-3                                             |                13 |
|  443 | goods-press-gatsu-gou-7                                             |                 3 |
|  444 | goof-troop                                                          |                13 |
|  445 | gourmet-sentai-bara-yarou                                           |                23 |
|  446 | gp-1                                                                |                 5 |
|  447 | gp-1-part-ii                                                        |                12 |
|  448 | gradius-iii                                                         |                25 |
|  449 | granhistoria-genshi-sekaiki                                         |                 3 |
|  450 | great-battle-gaiden-2-the-matsuri-da-wasshoi                        |                28 |
|  451 | great-battle-ii-the-last-fighter-twin                               |                17 |
|  452 | great-battle-iii-the                                                |                26 |
|  453 | great-battle-iv-the                                                 |                26 |
|  454 | great-battle-v-the                                                  |                21 |
|  455 | great-circus-mystery-starring-mickey-minnie-the                     |                22 |
|  456 | gt-racing                                                           |                 2 |
|  457 | gunforce                                                            |                 8 |
|  458 | gunple-strange-world-gunmans-proof                                  |                26 |
|  459 | habu-meijin-no-omoshiro-shougi                                      |                 2 |
|  460 | hagane-the-final-conflict                                           |                 2 |
|  461 | haisei-mahjong-ryouga                                               |                 2 |
|  462 | hajimari-no-mori                                                    |                10 |
|  463 | hakunetsu-professional-baseball-94-ganba-league-3                   |                 7 |
|  464 | hakunetsu-professional-baseball-ganba-league-93                     |                 6 |
|  465 | hals-hole-in-one-golf                                               |                 4 |
|  466 | hameln-no-violin-hiki                                               |                38 |
|  467 | hana-no-keiji-kumo-no-kanata-ni                                     |                 6 |
|  468 | hanafuda-ou                                                         |                 4 |
|  469 | hanjuku-eiyuu-aa-sekai-yo-hanjuku-nare                              |                12 |
|  470 | hanna-barberas-turbo-toons                                          |                 4 |
|  471 | hardball-iii                                                        |                 7 |
|  472 | harleys-humongous-adventure                                         |                 7 |
|  473 | harvest-moon                                                        |                14 |
|  474 | hashire-hebereke                                                    |                16 |
|  475 | hat-trick-hero-2                                                    |                11 |
|  476 | hatayama-hacchi-no-pro-yakyuu-news-jitsumeiban                      |                 5 |
|  477 | hayazashi-nidan-morita-shougi                                       |                 1 |
|  478 | head-on-soccer                                                      |                 4 |
|  479 | hebereke-no-oishii-puzzle-wa-irimasen-ka                            |                11 |
|  480 | hebereke-no-popun                                                   |                 8 |
|  481 | heberekes-popoitto                                                  |                 9 |
|  482 | heian-fuunden-the                                                   |                 1 |
|  483 | heisei-gunjin-shougi                                                |                 6 |
|  484 | heisei-inu-monogatari-bow-pop-n-smash                               |                 8 |
|  485 | heisei-shin-onigashima                                              |                 3 |
|  486 | herakles-no-eikou-iii-kamigami-no-chinmoku                          |                 8 |
|  487 | herakles-no-eikou-iv-kamigami-kara-no-okurimono                     |                 9 |
|  488 | hercules                                                            |                 8 |
|  489 | hero-senki-project-olympus                                          |                10 |
|  490 | hi-no-ouji-yamato-takeru                                            |                37 |
|  491 | hiouden-mamono-tachi-to-no-chikai                                   |                 3 |
|  492 | hissatsu-pachinko-collection                                        |                 2 |
|  493 | hisshou-777-fighter-ii-pachi-slot-hi-jouhou                         |                 1 |
|  494 | hisshou-777-fighter-iii-kokuryuuou-no-fukkatsu                      |                 2 |
|  495 | hisshou-pachi-slot-fan                                              |                 6 |
|  496 | hit-the-ice                                                         |                11 |
|  497 | hokuto-no-ken-5-tenma-ryuuseiden-ai-zesshou                         |                19 |
|  498 | hokuto-no-ken-6-gekitou-denshouken-haou-he-no-michi                 |                10 |
|  499 | hokuto-no-ken-7-seiken-retsuden-denshousha-he-no-michi              |                14 |
|  500 | holy-umbrella-dondera-no-mubou                                      |                33 |
|  501 | home-alone                                                          |                 8 |
|  502 | home-alone-2-lost-in-new-york                                       |                 8 |
|  503 | home-improvement-power-tool-pursuit                                 |                13 |
|  504 | hong-kong-97                                                        |                 1 |
|  505 | honkaku-mahjong-tetsuman                                            |                 6 |
|  506 | honkaku-shougi-fuuunji-ryuuou                                       |                 3 |
|  507 | honkakuha-igo-gosei                                                 |                 4 |
|  508 | honke-hanafuda                                                      |                 7 |
|  509 | honke-sankyo-fever-jikki-simulation-2                               |                 3 |
|  510 | honke-sankyo-fever-jikki-simulation-3                               |                 1 |
|  511 | honoo-no-toukyuuji-dodge-danpei                                     |                10 |
|  512 | hook                                                                |                18 |
|  513 | hourai-gakuen-no-bouken-tenkousei-scramble                          |                 3 |
